id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
1,2016,"Hiroshima Carp","Tomohiro Abe",27,115,291,259,23,73,12,4,6,33,7,0,19,64,0.282,0.327,0.429,0.756,111,3,1,7,5,2,"","2017-09-25 12:56:28","2017-10-02 12:24:23","abe---000tom"
2,2016,"Hiroshima Carp","Tsubasa Aizawa",28,83,220,197,18,47,7,0,7,26,1,1,14,42,0.239,0.301,0.381,0.682,75,7,4,4,1,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","aizawa001tsu"
3,2016,"Hiroshima Carp","Masato Akamatsu",33,89,21,19,15,7,1,1,0,3,12,2,2,4,0.368,0.429,0.526,0.955,10,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","akamat001mas"
4,2016,"Hiroshima Carp","Soichiro Amaya",32,55,96,80,12,14,2,0,1,8,3,0,13,16,0.175,0.302,0.238,0.54,19,1,2,0,1,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","amaya-001soh"
5,2016,"Hiroshima Carp","Takahiro Arai",39,132,513,454,66,136,23,2,19,101,0,1,54,101,0.3,0.372,0.485,0.857,220,12,1,0,4,1,"","2017-09-25 12:56:28","2017-10-02 12:24:23","arai--001tak"
6,2016,"Hiroshima Carp","Shota Dobayashi",24,47,60,56,6,14,0,0,2,2,3,1,3,11,0.25,0.288,0.357,0.645,20,0,0,1,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","dobaya000sho"
7,2016,"Hiroshima Carp","Brad Eldred",35,95,354,316,42,93,14,0,21,53,1,0,31,86,0.294,0.362,0.538,0.9,170,8,4,0,3,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","eldred001bra"
8,2016,"Hiroshima Carp","Yuya Fukui",28,13,27,26,1,2,1,0,0,0,0,0,0,16,0.077,0.077,0.115,0.192,3,0,0,1,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","fukui-000yuy"
9,2016,"Hiroshima Carp","Ryota Funakoshi",22,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","funako000ryo"
10,2016,"Hiroshima Carp","Shohei Habu",26,5,9,8,0,1,0,0,0,0,0,0,1,1,0.125,0.222,0.125,0.347,1,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","habu--000sho"
11,2016,"Hiroshima Carp","Bradin Hagens",27,50,14,14,1,2,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,2,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","hagens001bra"
12,2016,"Hiroshima Carp","Jun Hirose",37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","hirose001jun"
13,2016,"Hiroshima Carp","Atsuya Horie",19,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 12:56:28","2017-10-02 12:24:23","horie-000ats"
14,2016,"Hiroshima Carp","Yoshiyuki Ishihara",36,106,289,243,19,49,7,0,0,17,4,1,29,54,0.202,0.296,0.23,0.526,56,8,4,12,1,5,"","2017-09-25 12:56:29","2017-10-02 12:24:23","ishiha001yos"
15,2016,"Hiroshima Carp","Yoshitaka Isomura",23,24,32,31,2,5,1,0,0,2,0,0,1,5,0.161,0.188,0.194,0.381,6,1,0,0,0,1,"","2017-09-25 12:56:29","2017-10-02 12:24:23","isomur000yos"
16,2016,"Hiroshima Carp","Takahiro Iwamoto",30,27,22,21,2,7,2,1,0,5,0,0,1,8,0.333,0.364,0.524,0.887,11,0,0,0,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","iwamot002tak"
17,2016,"Hiroshima Carp","Kris Johnson",31,26,66,55,1,6,1,0,0,0,0,0,1,20,0.109,0.125,0.127,0.252,7,0,0,10,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","johnso001kri"
18,2016,"Hiroshima Carp","Ryosuke Kikuchi",26,141,640,574,92,181,22,3,13,56,13,5,40,106,0.315,0.358,0.432,0.79,248,3,0,23,3,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","kikuch000ryo"
19,2016,"Hiroshima Carp","Tetsuya Kokubo",31,69,107,92,8,20,9,1,2,10,0,0,11,23,0.217,0.321,0.402,0.723,37,2,3,1,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","kokubo001tet"
20,2016,"Hiroshima Carp","Aren Kuri",24,27,21,18,0,1,0,0,0,0,0,0,0,11,0.056,0.056,0.056,0.111,1,0,0,3,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","kuri--000are"
21,2016,"Hiroshima Carp","Hiroki Kuroda",41,24,52,45,2,4,1,0,0,5,0,0,2,21,0.089,0.128,0.111,0.239,5,0,0,5,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:23","kuroda001hir"
22,2016,"Hiroshima Carp","Hector Luna",36,67,268,243,35,66,8,1,5,34,6,0,22,47,0.272,0.332,0.374,0.707,91,5,1,0,2,0,"","2017-09-25 12:56:29","2017-10-02 12:24:24","luna--001hec"
23,2016,"Hiroshima Carp","Yoshihiro Maru",27,143,652,557,98,162,30,8,20,90,23,9,84,107,0.291,0.389,0.481,0.87,268,9,7,1,3,1,"","2017-09-25 12:56:29","2017-10-02 12:24:24","maru--001yos"
24,2016,"Hiroshima Carp","Ryuhei Matsuyama",30,103,275,254,34,74,10,2,10,41,0,0,20,29,0.291,0.342,0.465,0.806,118,4,0,0,1,1,"","2017-09-25 12:56:29","2017-10-02 12:24:24","matsuy001ryu"
25,2016,"Hiroshima Carp","Kyohei Nakamura",27,8,10,10,0,1,0,0,0,0,0,0,0,6,0.1,0.1,0.1,0.2,1,0,0,0,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:24","nakamu000kyo"
26,2016,"Hiroshima Carp","Oscar Nakaoshi",25,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 12:56:29","2017-10-02 12:24:24","nakaos000osc"
