id,year,"team_name","pit_name",age,wins,losses,win_loss_perc,earned_run_avg,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,homeruns,walks,intentional_bb,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,whip,hits_per_nine,homeruns_per_nine,walks_per_nine,strikeouts_per_nine,strikeouts_per_walks,"notes","created_at","updated_at","pitcher_id"
1,2016,"Fukuoka Softbank Hawks","Edison Barrios",27,0,2,0,7.82,11,0,1,0,0,0,12.2,20,11,11,1,5,2,16,0,1,1,60,1.974,14.2,0.7,3.6,11.4,3.2,"",NULL,NULL,"barrio001edi"
2,2016,"Fukuoka Softbank Hawks","Nao Higashihama",26,9,6,0.6,3,23,20,0,0,0,0,135,113,49,45,13,37,0,100,2,0,1,545,1.111,7.5,0.9,2.5,6.7,2.7,"",NULL,NULL,"higash001nao"
3,2016,"Fukuoka Softbank Hawks","Ryota Igarashi",37,0,1,0,3.62,33,0,13,0,0,0,27.1,23,11,11,3,14,1,27,4,0,2,123,1.354,7.6,1,4.6,8.9,1.93,"",NULL,NULL,"igaras001ryo"
4,2016,"Fukuoka Softbank Hawks","Yuya Iida",25,1,0,1,3.29,30,0,6,0,0,0,41,36,15,15,3,14,0,35,1,0,4,174,1.22,7.9,0.7,3.1,7.7,2.5,"",NULL,NULL,"iida--001yuy"
5,2016,"Fukuoka Softbank Hawks","Sho Iwasaki",26,4,2,0.667,1.95,35,7,5,1,1,1,87.2,77,22,19,6,17,0,61,0,0,3,347,1.072,7.9,0.6,1.7,6.3,3.59,"",NULL,NULL,"iwasak001sho"
6,2016,"Fukuoka Softbank Hawks","Ren Kajiya",24,0,0,0,4.5,2,0,2,0,0,0,2,3,1,1,0,1,0,1,0,0,0,9,2,13.5,0,4.5,4.5,1,"",NULL,NULL,"kajiya000ren"
7,2016,"Fukuoka Softbank Hawks","Shinya Kayama",26,0,0,0,8.59,5,0,2,0,0,0,7.1,9,7,7,4,4,0,8,1,0,1,36,1.773,11,4.9,4.9,9.8,2,"",NULL,NULL,"kayama000shi"
8,2016,"Fukuoka Softbank Hawks","Yuki Matsumoto",20,0,0,0,9,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,4,1,9,9,0,9,0,"",NULL,NULL,"matsum003yuk"
9,2016,"Fukuoka Softbank Hawks","Daisuke Matsuzaka",35,0,0,0,18,1,0,1,0,0,0,1,3,5,2,0,2,0,2,2,0,1,10,5,27,0,18,18,1,"",NULL,NULL,"matsuz001dai"
10,2016,"Fukuoka Softbank Hawks","Yuito Mori",24,4,3,0.571,2.98,56,0,20,0,0,1,60.1,68,20,20,6,15,1,51,2,0,0,261,1.376,10.1,0.9,2.2,7.6,3.4,"",NULL,NULL,"mori--000yui"
11,2016,"Fukuoka Softbank Hawks","Masahiko Morifuku",29,2,1,0.667,2,50,0,3,0,0,0,27,23,7,6,1,2,0,23,3,0,0,105,0.926,7.7,0.3,0.7,7.7,11.5,"",NULL,NULL,"morifu001mas"
12,2016,"Fukuoka Softbank Hawks","Kenichi Nakata",33,7,3,0.7,3.01,17,16,1,0,0,0,89.2,64,31,30,9,49,0,67,5,0,3,377,1.26,6.4,0.9,4.9,6.7,1.37,"",NULL,NULL,"nakata001ken"
13,2016,"Fukuoka Softbank Hawks","Ken Okamoto",23,0,0,0,2.57,13,0,9,0,0,0,14,10,4,4,0,8,0,10,0,0,0,60,1.286,6.4,0,5.1,6.4,1.25,"",NULL,NULL,"okamot002ken"
14,2016,"Fukuoka Softbank Hawks","Kenji Otonari",31,1,0,1,1.5,1,1,0,0,0,0,6,4,1,1,0,2,0,4,2,0,0,25,1,6,0,3,6,2,"",NULL,NULL,"ohtona001ken"
15,2016,"Fukuoka Softbank Hawks","Dennis Sarfate",35,0,7,0,1.88,64,0,54,0,0,43,62.1,40,15,13,4,11,1,73,0,0,1,237,0.818,5.8,0.6,1.6,10.5,6.64,"",NULL,NULL,"sarfat001den"
16,2016,"Fukuoka Softbank Hawks","Kodai Senga",23,12,3,0.8,2.61,25,25,0,3,0,0,169,125,52,49,16,53,0,181,6,1,7,681,1.053,6.7,0.9,2.8,9.6,3.42,"",NULL,NULL,"senga-000kod"
17,2016,"Fukuoka Softbank Hawks","Tadashi Settsu",34,2,2,0.5,5.59,7,7,0,0,0,0,37,42,24,23,3,13,0,21,3,0,1,164,1.486,10.2,0.7,3.2,5.1,1.62,"",NULL,NULL,"settu-001tad"
18,2016,"Fukuoka Softbank Hawks","Robert Suarez",25,2,6,0.25,3.19,58,0,15,0,0,1,53.2,49,21,19,5,18,3,64,1,0,2,223,1.248,8.2,0.8,3,10.7,3.56,"",NULL,NULL,"suarez002rob"
19,2016,"Fukuoka Softbank Hawks","Shota Takeda",23,14,8,0.636,2.95,27,27,0,1,1,0,183,163,71,60,12,70,0,144,5,1,7,769,1.273,8,0.6,3.4,7.1,2.06,"",NULL,NULL,"takeda000sho"
20,2016,"Fukuoka Softbank Hawks","Hayato Terahara",32,2,1,0.667,4.05,14,0,3,0,0,0,13.1,18,6,6,2,5,0,10,0,0,0,62,1.725,12.2,1.4,3.4,6.8,2,"",NULL,NULL,"teraha001hay"
21,2016,"Fukuoka Softbank Hawks","Rick van den Hurk",31,7,3,0.7,3.84,13,13,0,0,0,0,82,64,37,35,14,15,0,92,1,0,1,325,0.963,7,1.5,1.6,10.1,6.13,"",NULL,NULL,"vanden001hen"
22,2016,"Fukuoka Softbank Hawks","Tsuyoshi Wada",35,15,5,0.75,3.04,24,24,0,2,1,0,163,138,58,55,22,38,0,157,5,0,0,662,1.08,7.6,1.2,2.1,8.7,4.13,"",NULL,NULL,"wada--001tsu"
23,2016,"Fukuoka Softbank Hawks","Hiroki Yamada",27,1,1,0.5,5.93,4,3,1,0,0,0,13.2,17,9,9,1,8,0,9,1,0,1,63,1.829,11.2,0.7,5.3,5.9,1.13,"",NULL,NULL,"yamada002hir"
24,2016,"Fukuoka Softbank Hawks","Akihiro Yanase",32,0,0,0,4.5,2,0,0,0,0,0,2,4,1,1,0,0,0,1,0,0,0,10,2,18,0,0,4.5,0,"",NULL,NULL,"yanase001aki"
25,2016,"Chiba Lotte Marines","Kazunari Abe",27,0,0,0,4.67,13,0,7,0,0,0,17.1,22,10,9,2,11,0,6,0,0,0,85,1.904,11.4,1,5.7,3.1,0.55,"",NULL,NULL,"abe---000kaz"
26,2016,"Chiba Lotte Marines","Kuan-Yu Chen",25,1,1,0.5,4.01,7,4,0,0,0,0,24.2,25,14,11,3,10,0,23,0,0,2,104,1.419,9.1,1.1,3.6,8.4,2.3,"",NULL,NULL,"chen--000kua"
27,2016,"Chiba Lotte Marines","Takahiro Fujioka",26,1,1,0.5,2.55,32,0,2,0,0,0,42.1,35,18,12,6,17,0,32,1,0,1,179,1.228,7.4,1.3,3.6,6.8,1.88,"",NULL,NULL,"fujiok000tak"
28,2016,"Chiba Lotte Marines","Takuya Furuya",34,0,4,0,8.84,5,4,0,0,0,0,18.1,25,19,18,1,11,0,6,0,0,0,92,1.964,12.3,0.5,5.4,2.9,0.55,"",NULL,NULL,"furuya001tak"
29,2016,"Chiba Lotte Marines","Kota Futaki",20,7,9,0.438,5.34,22,21,1,1,0,0,116.1,143,74,69,12,34,1,81,2,0,5,518,1.521,11.1,0.9,2.6,6.3,2.38,"",NULL,NULL,"futaki000kot"
